"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
30921,1994,1961,1,1,1,12,8595,NA
11869,1980,1959,0,1,5,12,16994,3
19340,1986,1931,1,1,2,12,38222,NA
54630,2010,1969,0,1,1,13,51800,4
29467,1994,1950,0,1,1,19,97684,4
41495,2002,1968,1,1,1,12,10167.625,4
36167,1998,1951,0,1,1,12,16363,2
41834,2002,1958,0,1,1,12,20335.25,NA
19816,1986,1921,0,1,1,12,24207,NA
8357,1977,1931,0,1,1,16,72229,4
13339,1982,1957,1,1,5,15,603,4
18337,1985,1943,1,1,1,13,7917,3
37865,1998,1968,0,1,1,17,16363,3
25201,1990,1966,0,1,5,15,7984,3
15979,1984,1962,0,1,5,12,2201,3
26567,1991,1961,0,2,5,12,418,3
36220,1998,1964,1,1,5,15,14641,3
35023,1996,1935,1,1,2,12,13594,NA
10105,1978,1926,0,1,1,20,67851,NA
52385,2008,1955,0,1,5,15,4016.25,NA
34856,1996,1946,1,1,1,14,19938,3
38819,2000,1953,0,1,3,12,29925,3
21659,1987,1954,1,2,5,10,4500,3
28110,1993,1958,0,1,1,12,14738,4
36364,1998,1974,1,1,5,12,3100,3
24417,1989,1947,1,1,1,14,80690,3
44290,2004,1964,1,1,1,12,22642.5,3
14398,1983,1928,0,1,2,8,26411,NA
50520,2006,NA,1,2,3,15,15633.75,NA
13178,1982,1951,1,1,3,12,13563,4
22633,1988,1921,0,1,3,16,15682,4
51580,2008,1982,1,3,5,14,24097.5,NA
27339,1991,1963,1,3,3,7,3760,2
26307,1991,1931,0,1,1,12,11490,NA
41909,2002,1976,0,1,3,12,4692.75,2
13455,1982,1949,1,1,3,12,13563,3
35480,1998,1972,0,1,5,13,12918,4
24214,1989,1965,0,1,5,16,12756,4
52752,2008,1956,1,1,3,16,53550,4
10607,1978,1941,0,1,1,9,29402,NA
19790,1986,1958,0,1,5,19,16563,NA
46498,2004,1955,1,1,4,8,5434.2,2
51114,2008,1951,0,1,1,15,480144.47,3
25497,1990,1948,0,1,5,18,33266,1
7348,1976,1935,0,1,1,10,25465,2
3407,1974,1925,1,1,1,12,13570,4
25342,1990,1930,0,1,1,14,28830,2
32674,1996,1949,1,1,1,17,8156,NA
52569,2008,1972,1,1,3,19,36146.25,3
5134,1975,1927,0,1,1,12,50027,3
19663,1986,1921,0,1,1,16,33125,NA
41029,2002,1949,1,1,3,17,42234.75,4
31751,1994,1963,0,1,5,18,21010,NA
38831,2000,1956,1,1,1,12,10806,4
16220,1984,1958,0,1,1,13,33016,4
9536,1978,1952,0,1,5,16,24879,NA
16904,1984,1914,0,1,1,11,46773,3
14060,1983,1921,0,1,1,9,15619,NA
25618,1990,1950,0,1,5,12,3992,NA
8957,1977,1956,1,1,5,12,3852,3
16860,1984,1952,0,2,1,7,9905,4
54996,2010,1957,1,1,1,17,28490,NA
50475,2006,1978,1,2,5,15,18476.25,3
38354,2000,1951,0,1,4,20,44887,3
7391,1976,1955,0,1,5,12,7130,3
13318,1982,1935,0,3,3,15,16577,4
41159,2002,1968,0,2,3,12,14860.375,3
44360,2004,1968,0,2,5,14,27171,NA
32021,1994,1944,0,1,3,7,3438,2
14644,1983,1940,1,1,4,12,6248,NA
11422,1980,1918,1,1,5,8,8308,3
41158,2002,1969,0,3,3,13,23463.75,NA
40002,2000,1957,1,1,1,14,29925,4
27373,1991,1962,1,1,4,15,19846,3
32666,1996,1944,0,3,1,16,27188,3
4702,1975,1946,0,2,5,12,20011,3
4091,1974,1948,1,1,1,16,13570,4
51864,2008,1954,1,1,5,18,44178.75,NA
5002,1975,1933,0,1,1,7,14452,3
23660,1989,1954,0,1,1,12,17394,3
33741,1996,1934,0,1,1,19,48938,NA
36695,1998,1958,0,2,2,12,25837,3
49273,2006,1975,0,1,1,12,38373.75,3
34432,1996,1934,1,1,3,20,9969,3
38879,2000,1944,0,1,5,16,134018,NA
26123,1990,1961,1,2,1,12,3105,NA
44892,2004,1967,1,1,3,13,12830.75,3
27360,1991,1970,1,1,1,15,2925,NA
12436,1982,1952,0,1,1,15,28030,2
32623,1996,1956,1,1,1,15,4713,3
40274,2000,1977,0,1,5,15,15793,3
34262,1996,1947,0,1,1,11,5438,NA
31573,1994,1935,1,1,3,10,6876,3
49332,2006,1957,1,1,1,12,13501.875,3
19455,1986,1962,1,1,5,16,5606,NA
31926,1994,1971,0,1,5,14,21010,NA
31165,1994,1944,1,1,3,12,10505,3
36477,1998,1958,0,3,1,13,150054,3
29602,1994,1914,0,1,2,16,17954,2
52680,2008,1986,1,1,5,13,267.75,3
3993,1974,1936,0,1,1,9,22206,4
22005,1988,1932,0,1,1,14,53077,NA
19709,1986,1942,1,1,1,12,14015,NA
7376,1976,1941,0,1,1,12,18335,3
21677,1987,1954,0,2,3,12,13750,3
35624,1998,1954,0,1,3,12,68900,3
44265,2004,1974,1,2,1,16,6792.75,3
38052,1998,1954,1,1,3,18,22392,3
38233,2000,1943,1,1,3,12,21612,NA
28215,1993,1952,1,1,3,12,16703,3
18060,1985,1936,0,1,1,18,96036,3
21606,1987,1952,0,2,3,11,4500,2
44606,2004,1968,0,3,1,14,27171,NA
18902,1986,1923,0,1,1,12,33125,NA
9547,1978,1936,0,1,1,12,3619,NA
19667,1986,1930,1,1,2,12,7644,NA
13649,1982,1960,1,2,5,11,2411,3
4444,1974,1935,0,1,1,2,30841,3
49410,2006,1981,0,1,5,8,21318.75,2
16063,1984,1938,0,1,1,12,87058,4
12593,1982,1915,1,1,2,18,10850,2
53208,2010,1987,0,1,5,14,4662,NA
33301,1996,1958,0,1,1,20,92692,4
30399,1994,1940,0,1,1,16,97684,NA
31984,1994,1965,1,1,1,14,14325,3
21200,1987,1951,0,1,1,16,13750,4
48975,2006,1942,0,1,1,16,38373.75,4
40418,2000,1968,1,1,1,12,15793,3
25857,1990,1955,1,1,1,18,1774,3
38906,2000,1970,0,1,5,12,54862,2
43980,2004,1961,1,1,5,13,22642.5,NA
43666,2002,1961,0,1,5,12,2815.65,3
44907,2004,1970,1,1,1,20,22642.5,3
50509,2006,1965,0,2,1,12,18476.25,4
7996,1977,1943,0,2,1,12,17335,2
26732,1991,1965,0,2,5,12,31336,4
4804,1975,1926,0,1,1,12,75863,2
49144,2006,1970,1,1,1,16,2558.25,3
25046,1990,1942,1,1,1,14,16633,3
13509,1982,1954,1,1,1,19,22605,4
21340,1987,1969,1,1,5,12,2000,4
31020,1994,1951,1,1,5,11,34380,3
20717,1987,1932,1,1,1,12,9000,3
54434,2010,1977,0,1,5,15,23310,NA
28773,1993,1954,1,1,5,18,25545,2
39220,2000,1972,0,1,5,14,29925,4
3154,1974,1935,0,1,1,14,43178,4
48910,2006,1952,1,1,1,14,31267.5,3
31988,1994,1971,0,1,5,14,14325,4
30946,1994,1950,0,1,3,10,12415,NA
54133,2010,1967,0,1,1,15,16835,3
5796,1975,1921,0,1,1,16,75863,4
22830,1988,1958,0,2,1,14,18094,3
41642,2002,1967,1,1,1,12,13296.125,NA
43538,2002,1940,0,1,1,12,42234.75,4
40795,2000,1962,0,1,3,12,18287,2
43305,2002,1949,1,1,1,16,2189.95,4
40241,2000,1956,1,1,5,16,29925,NA
14733,1983,1953,0,1,3,12,18459,NA
49418,2006,1959,0,1,3,14,15633.75,NA
18289,1985,1950,0,1,1,14,31668,4
14462,1983,1955,1,1,5,12,10223,NA
22803,1988,1943,0,1,3,12,36189,NA
54874,2010,1952,1,1,1,12,11007.5,3
37319,1998,1959,0,1,1,12,14641,2
29516,1994,1959,0,1,1,12,42020,3
12301,1982,1952,0,1,5,16,51237,4
53506,2010,1964,0,1,1,17,62160,NA
32164,1994,1966,1,1,1,12,6876,2
21368,1987,1950,0,1,1,12,32500,4
38761,2000,1975,1,1,5,12,14131,3
13778,1982,1963,0,2,5,11,603,4
52360,2008,1951,1,1,1,14,36146.25,NA
53332,2010,1986,0,1,5,16,1036,NA
43424,2002,1969,0,2,1,10,23463.75,NA
31882,1994,1969,0,1,1,12,12415,NA
52580,2008,1973,1,1,3,15,20081.25,3
17864,1985,1958,1,1,1,6,2111,4
34387,1996,1957,1,1,3,18,3988,1
30540,1994,1959,0,1,1,16,24830,3
32797,1996,1942,0,1,1,16,32625,4
46478,2004,1960,1,1,1,16,16604.5,3
37462,1998,1964,0,1,1,16,18947,4
29898,1994,1963,1,2,1,13,2674,4
36483,1998,1976,1,1,1,14,14641,3
53209,2010,1961,0,1,5,14,8417.5,3
42093,2002,1928,1,1,2,12,5631.3,4
29929,1994,1974,0,1,5,13,382,4
44138,2004,1954,0,1,1,20,134008.44,3
51951,2008,1964,0,1,5,10,24097.5,NA
34832,1996,1963,0,1,3,13,6525,3
10991,1980,1950,1,1,1,16,20770,4
15364,1983,1951,0,1,1,16,12779,NA
26791,1991,1958,0,1,5,11,17757,3
14157,1983,1960,1,1,5,16,3976,NA
22893,1988,1950,0,1,1,12,26538,NA
52222,2008,1975,0,1,1,18,29452.5,3
51163,2008,1947,0,1,1,12,1874.25,2
27275,1991,1951,1,1,1,16,3760,3
44505,2004,1960,0,1,4,10,16604.5,4
53660,2010,1971,0,1,4,15,42735,NA
38285,2000,1958,0,1,1,10,24937,3
21669,1987,1936,1,2,2,13,13750,3
14848,1983,1940,1,1,1,16,8520,NA
19945,1986,1927,1,1,2,8,9173,NA
40872,2000,1936,1,1,3,20,2327,3
6058,1975,1917,0,1,1,9,27793,4
4820,1975,1935,0,1,1,18,50027,4
4243,1974,1911,0,1,5,14,43178,3
4672,1975,1950,0,1,1,14,7782,3
24430,1989,1961,1,3,1,10,464,3
24440,1989,1935,0,1,1,17,41746,NA
15541,1983,1931,1,1,1,12,8520,NA
6558,1976,1950,0,1,5,17,11205,3
4176,1974,1916,1,1,1,12,4935,4
30047,1994,1965,1,2,4,15,24830,NA
53248,2010,1966,0,2,5,12,19425,NA
16366,1984,1959,0,1,1,12,2201,3
34929,1996,1975,0,1,5,11,9969,3
4377,1974,1943,0,1,1,12,30841,4
40726,2000,1961,0,1,1,13,21612,3
45232,2004,1969,0,1,3,13,12830.75,3
25092,1990,1955,0,1,1,15,39919,4
13190,1982,1932,0,1,1,6,16577,4
50958,2006,1970,1,3,1,11,10659.375,3
43960,2004,1984,0,3,5,14,2717.1,NA
30881,1994,1959,1,1,3,12,12415,NA
50806,2006,1971,0,3,5,15,7816.875,3
19566,1986,1935,1,1,4,14,33125,NA
15498,1983,1923,0,1,1,16,48277,NA
35914,1998,1964,1,3,1,16,37895,4
20703,1987,1947,1,1,1,18,27500,3
29156,1993,1954,1,1,1,13,8843,3
54621,2010,1968,0,1,5,14,28490,NA
18226,1985,1924,0,1,1,12,96036,3
6472,1976,1934,1,1,1,10,4074,3
21230,1987,1958,1,1,1,12,18750,3
34225,1996,1945,0,1,1,15,15406,4
19150,1986,1947,0,1,1,16,28029,NA
11581,1980,1943,1,1,3,12,13595,4
43345,2002,1942,1,1,3,18,20335.25,3
21480,1987,1953,1,1,1,12,27500,2
44113,2004,1949,1,2,5,13,16604.5,NA
50658,2006,1961,0,1,3,13,25582.5,4
17710,1985,1945,1,1,5,12,22432,3
44287,2004,1976,0,1,5,12,16604.5,NA
47867,2006,1967,0,1,1,16,46901.25,3
4868,1975,1911,0,1,1,12,20011,2
8577,1977,1950,1,1,1,12,6741,3
30275,1994,1937,0,2,3,9,21010,2
6723,1976,1943,0,1,1,18,35651,3
41364,2002,1962,0,1,5,16,34413.5,3
14340,1983,1944,0,1,1,12,26411,NA
19160,1986,1959,1,2,5,12,11466,NA
5690,1975,1951,0,1,1,18,20011,4
37920,1998,1963,0,1,5,14,37895,3
39094,2000,1951,1,1,1,16,15793,NA
29181,1993,1965,0,1,5,13,25545,NA
14347,1983,1941,1,1,1,12,12779,NA
12819,1982,1928,0,1,1,16,28030,3
12236,1982,1944,0,1,1,12,51237,3
22754,1988,1927,0,1,1,12,3378,3
16436,1984,1945,1,1,1,12,7153,3
36951,1998,1949,0,1,3,15,37895,3
38940,2000,1947,0,1,3,12,24937,4
30094,1994,1960,0,3,1,15,42020,4
53887,2010,1969,1,1,1,20,51800,2
51874,2008,1957,0,1,1,12,36146.25,4
46388,2004,1952,0,1,3,12,14340.25,NA
42650,2002,1964,1,1,5,15,23463.75,NA
46106,2004,1971,1,1,3,14,27171,NA
11987,1980,1935,0,1,1,9,56647,2
4612,1975,1941,0,1,1,16,38910,3
14416,1983,1960,0,1,5,11,12779,NA
6088,1975,1953,0,1,5,15,4447,4
8385,1977,1952,0,1,1,16,17335,4
25175,1990,1962,1,1,1,16,1774,NA
27932,1993,1963,1,1,1,14,18471,NA
22815,1988,1922,1,1,2,11,15682,4
26301,1991,1943,0,1,1,19,111284,NA
33415,1996,1960,0,1,3,15,19938,NA
33778,1996,1953,0,1,1,14,48938,3
33732,1996,1963,1,2,1,16,19938,4
19608,1986,1958,1,1,4,11,7644,NA
27991,1993,1957,0,2,5,17,29475,3
46410,2004,1970,1,3,4,16,27171,4
9474,1978,1953,0,2,1,12,20355,NA
53135,2010,1967,1,2,1,16,16835,2
12121,1982,1941,0,1,1,9,22605,3
15386,1983,1935,0,1,3,15,12779,NA
43266,2002,1938,1,1,1,12,2189.95,2
18556,1985,1946,1,1,3,15,6861,3
40043,2000,1976,0,1,5,16,21612,3
4907,1975,1927,1,1,2,12,27793,4
45927,2004,1969,0,1,1,10,8302.25,2
34426,1996,1948,0,1,4,14,32625,3
45430,2004,1984,0,1,5,11,1207.6,3
11814,1980,1926,1,1,3,12,32100,3
11582,1980,1941,1,2,1,13,8308,3
37601,1998,1978,1,1,1,13,7751,4
48105,2006,1970,1,1,3,13,18476.25,4
44638,2004,1949,1,1,1,12,12830.75,3
52328,2008,1975,1,1,1,11,12718.125,3
35081,1996,1930,0,1,1,12,9969,4
4746,1975,1921,0,1,2,12,20011,3
54990,2010,1978,0,1,3,14,23310,NA
53009,2008,1985,0,2,5,11,11379.375,4
3437,1974,1954,0,1,5,13,16038,3
38079,1998,1957,1,1,1,18,18947,4
51886,2008,1968,0,1,1,11,10040.625,NA
39066,2000,1949,1,1,1,18,134018,4
16162,1984,1955,1,1,3,14,25587,4
49353,2006,1960,1,1,3,15,38373.75,4
12451,1982,1933,0,1,1,13,9042,3
3352,1974,1940,1,1,1,11,16038,2
27016,1991,1944,1,1,4,14,13579,3
9696,1978,1934,1,1,1,16,20355,NA
17020,1984,1951,1,3,1,12,12381,3
22398,1988,1928,1,1,1,16,31364,3
7127,1976,1903,0,1,2,7,45837,3
47882,2006,1977,1,1,5,12,15633.75,3
51425,2008,1944,0,1,3,16,17403.75,NA
20056,1986,1949,0,1,3,12,14015,NA
36089,1998,1959,0,1,1,8,22392,2
22028,1988,1969,0,1,5,11,483,3
53147,2010,1960,1,1,5,13,34965,2
15880,1984,1938,1,1,1,12,550,4
44642,2004,1954,1,1,1,12,9811.75,NA
12429,1982,1939,0,2,1,12,22605,3
15594,1984,1948,1,2,1,13,46773,4
14552,1983,1946,1,1,1,16,3976,NA
10532,1978,1949,0,1,1,12,13570,NA
17895,1985,1960,0,1,1,12,11876,3
23941,1989,1950,1,1,3,17,22032,3
6610,1976,1943,1,1,1,14,7130,3
45576,2004,1960,0,3,1,20,40756.5,NA
9600,1978,1955,1,3,5,16,16284,NA
42339,2002,1946,0,1,1,14,34413.5,2
47113,2006,1970,1,3,1,12,7816.875,3
30555,1994,1936,0,1,1,11,51570,NA
52804,2008,1979,1,2,1,13,1071,NA
34770,1996,1936,1,1,1,16,3263,4
52647,2008,1967,0,1,3,12,24097.5,NA
40037,2000,1955,1,1,5,14,29925,3
7289,1976,1915,1,1,1,8,1019,2
18284,1985,1932,1,1,1,13,5806,3
8971,1977,1930,0,1,3,8,26484,2
47913,2006,1955,1,1,1,12,31267.5,4
47026,2006,1987,1,3,5,11,1137,2
43854,2004,1946,0,1,1,12,60380,4
32980,1996,1954,1,1,1,13,9969,3
7687,1977,1950,0,1,4,14,21669,4
16336,1984,1947,0,1,5,17,20635,2
32647,1996,1942,1,1,3,16,8156,3
33216,1996,1935,0,1,3,16,48938,3
15567,1983,1952,0,1,1,12,12779,NA
21308,1987,1962,1,2,1,13,9000,4
13375,1982,1957,1,1,5,16,10850,3
54926,2010,1969,0,2,1,12,8417.5,3
36510,1998,1979,1,1,5,11,2411,3
43910,2004,1953,0,3,1,6,4528.5,NA
10010,1978,1954,0,2,5,16,42068,NA
40774,2000,1959,1,1,3,12,5985,2
18502,1985,1948,1,3,1,10,3695,3
38912,2000,1953,0,1,5,17,29925,3
42575,2002,1981,1,1,5,14,1251.4,4
50348,2006,1949,0,1,1,16,46901.25,4
33268,1996,1972,1,1,5,16,15406,4
12083,1980,1914,0,1,1,8,6798,3
16348,1984,1947,1,1,1,12,9905,3
36876,1998,1947,0,1,1,13,22392,3
48982,2006,1968,1,1,1,14,15633.75,NA
7566,1976,1953,0,1,5,12,7130,4
41622,2002,1978,1,1,5,12,1251.4,2
15830,1984,1951,1,1,1,17,17884,3
26669,1991,1949,1,1,5,16,19846,NA
36640,1998,1942,0,1,3,13,31005,3
20060,1987,1921,1,1,2,18,45000,4
6446,1976,1938,0,1,1,17,45837,4
41538,2002,1946,0,1,1,18,51620.25,3
45595,2004,1940,0,1,1,14,3924.7,NA
8181,1977,1940,0,1,1,19,21669,4
49423,2006,1960,1,1,1,13,18476.25,3
14087,1983,1948,1,2,5,13,18459,NA
5791,1975,1941,0,1,1,12,27793,3
8896,1977,1943,0,1,1,12,31299,3
3623,1974,1934,0,1,1,12,30841,3
43814,2004,1970,1,1,1,18,33209,NA
39170,2000,1978,1,3,1,11,4987,NA
53407,2010,1957,1,1,1,16,23310,NA
20157,1987,1960,0,1,5,12,21250,3
46183,2004,1968,1,1,1,16,16604.5,4
10422,1978,1918,1,1,3,15,6333,NA
21540,1987,NA,1,2,4,12,5500,3
45076,2004,1963,0,1,3,13,49813.5,4
25102,1990,1954,0,1,3,14,28830,NA
24145,1989,1962,0,1,1,11,17394,NA
13082,1982,1907,1,2,3,7,2411,4
31233,1994,1942,0,1,1,16,24830,4
52737,2008,1953,1,1,1,10,10040.625,1
6158,1976,1946,1,1,1,12,1019,4
31810,1994,1949,0,1,3,13,24830,3
28114,1993,1950,1,1,1,12,393,3
6121,1976,1924,0,1,1,13,13242,2
26360,1991,1954,1,2,5,13,31336,3
6452,1976,1918,0,1,1,16,25465,3
43244,2002,1969,0,1,5,13,20335.25,4
47102,2006,1964,0,1,1,14,25582.5,NA
42518,2002,1946,0,1,1,16,34413.5,3
11023,1980,1956,0,1,5,12,16994,4
23700,1989,1951,1,1,1,12,5102,2
23360,1989,1963,0,1,5,16,80690,NA
51322,2008,1945,0,1,5,13,36146.25,NA
32379,1994,1945,1,1,5,12,17954,3
39575,2000,1981,1,3,5,11,1330,4
18551,1985,1962,0,1,1,17,4750,4
49488,2006,1952,1,3,3,8,25582.5,2
20973,1987,1950,1,1,1,19,2000,4
32527,1996,1963,1,1,5,16,23563,3
24652,1989,1909,0,1,2,11,41746,3
15888,1984,1944,1,1,3,14,9905,4
5934,1975,1937,0,1,1,11,20011,4
38797,2000,1981,0,1,5,11,2992,4
7350,1976,1920,1,1,1,10,9167,3
25228,1990,1932,0,1,1,16,103206,3
51537,2008,1960,1,1,1,12,1874.25,3
7106,1976,1943,0,1,1,16,35651,4
41215,2002,1969,1,1,1,20,234366.65,4
30339,1994,1952,0,1,1,14,17954,2
18927,1986,1966,1,1,5,11,4587,NA
27838,1993,1957,0,1,5,12,5109,3
36916,1998,1968,0,1,5,17,18947,4
42850,2002,1950,0,2,3,15,42234.75,2
50949,2006,1942,1,1,1,12,6395.625,3
17515,1985,1930,0,1,1,16,96036,2
30952,1994,1960,0,1,1,12,16235,4
26008,1990,1946,1,1,1,13,14415,4
52108,2008,1958,1,1,5,16,1071,NA
21360,1987,1958,1,1,3,16,18750,3
36058,1998,1966,0,1,5,12,14641,3
17231,1985,1960,0,1,1,12,17154,4
23856,1989,1934,0,1,3,16,80690,3
27478,1991,1952,1,1,1,14,15668,4
52790,2008,1974,1,1,1,12,17403.75,NA
18718,1986,1943,0,1,3,10,28029,NA
17256,1985,1953,1,2,5,12,19793,3
36024,1998,1954,0,1,1,20,37895,3
12877,1982,1921,1,2,4,6,7836,2
6970,1976,1948,1,1,1,16,15279,4
35522,1998,1953,1,1,1,14,7751,3
53197,2010,1985,0,3,5,9,7122.5,NA
18212,1985,1959,0,1,1,12,31668,3
32512,1996,1955,1,1,1,12,8156,NA
25574,1990,1962,0,1,1,9,24395,2
49810,2006,1960,1,1,3,12,6395.625,3
5914,1975,1952,1,1,1,12,20011,3
9500,1978,1942,0,1,1,18,24879,NA
36760,1998,1970,1,1,5,16,31005,4
25868,1990,1964,1,1,1,17,12197,NA
23486,1989,1947,0,1,4,15,30150,NA
49089,2006,1985,1,1,5,14,7816.875,4
52972,2008,1957,0,1,1,12,53550,4
49648,2006,1982,1,1,1,16,5116.5,3
27825,1993,1964,1,1,1,18,35370,4
9939,1978,1942,0,1,1,14,33926,NA
34448,1996,1948,1,1,3,12,32625,NA
10608,1978,1944,0,1,5,10,29402,NA
9933,1978,1957,1,2,5,10,6333,NA
33259,1996,1975,0,2,5,12,17038,3
26016,1990,1922,1,1,2,12,3992,NA
15595,1984,1944,1,2,1,16,23386,NA
35856,1998,1968,1,1,1,16,31005,3
5349,1975,1933,0,1,3,14,16676,2
52487,2008,1955,1,1,3,18,20081.25,NA
26437,1991,1922,1,1,2,12,418,4
37502,1998,1967,1,1,5,20,31005,3
13542,1982,1938,0,1,1,7,22605,4
34203,1996,1962,1,1,5,19,15406,3
15301,1983,1958,0,1,1,10,26411,NA
44748,2004,1972,1,2,5,20,9811.75,4
21973,1988,1962,0,3,5,18,6273,4
5853,1975,1918,0,1,1,11,27793,3
42930,2002,1943,0,3,3,14,4067.05,2
13886,1982,1959,0,2,5,12,13563,4
27141,1991,1964,1,1,1,20,19846,NA
37655,1998,1966,1,2,5,13,7751,3
55057,2010,1957,1,1,3,14,4662,3
32633,1996,1968,1,3,1,15,15406,4
4203,1974,1925,0,1,5,15,22206,3
14422,1983,1926,0,1,1,16,26411,NA
46755,2006,1954,0,1,5,12,13501.875,3
52216,2008,1975,0,1,3,15,64260,4
50079,2006,1952,0,1,1,18,38373.75,4
14050,1983,1926,1,2,1,18,34078,NA
23784,1989,1956,1,1,1,16,6958,3
49014,2006,1954,1,1,3,12,31267.5,4
5493,1975,1921,1,1,1,17,4447,2
22941,1988,1938,1,1,1,11,6273,1
12172,1982,1925,1,2,1,12,16577,3
16166,1984,1961,0,1,5,12,46773,2
37952,1998,1971,1,1,5,16,11196,3
32743,1996,1965,0,1,1,13,32625,3
12933,1982,1951,1,1,3,17,25619,3
20519,1987,1951,0,1,5,18,92594,4
46262,2004,1947,1,1,1,12,11321.25,NA
10305,1978,1925,1,1,5,12,16284,NA
26386,1991,1949,1,1,1,16,19846,NA
34851,1996,1948,0,1,5,15,27188,4
29538,1994,1943,1,2,1,12,28650,3
31198,1994,1962,0,1,1,20,21010,4
28844,1993,1968,1,1,5,16,25545,3
42743,2002,1970,1,1,1,16,17206.75,NA
16430,1984,1950,0,1,5,20,15132,2
35773,1998,1961,0,2,2,15,12918,4
37312,1998,1944,0,1,1,18,16363,4
28421,1993,1931,0,1,5,12,8843,3
5397,1975,1941,1,1,1,12,4447,4
50793,2006,1943,1,1,2,19,21318.75,2
20910,1987,1939,1,1,1,14,21250,3
44605,2004,1960,1,3,1,16,33209,3
14565,1983,1952,0,1,1,12,24139,NA
44626,2004,1968,0,1,5,16,49813.5,NA
51032,2008,1968,0,2,5,19,64260,3
54914,2010,1943,1,1,1,13,2331,NA
9052,1977,1951,0,1,1,12,31299,3
23763,1989,1936,0,1,3,13,17394,3
31118,1994,1938,0,1,1,12,17954,NA
42208,2002,1979,1,1,5,12,2815.65,NA
54632,2010,1955,0,1,1,13,34965,3
14631,1983,1957,0,1,1,10,24139,NA
41072,2002,1945,0,1,1,15,62570,NA
30760,1994,1938,1,1,3,13,8595,NA
49160,2006,1980,1,1,1,16,284.25,3
24678,1989,1948,0,1,1,12,12756,3
6907,1976,1928,0,1,1,17,81652,4
18676,1986,1957,0,1,1,12,38222,NA
29568,1994,1947,0,1,1,14,34380,2
5765,1975,1945,0,2,1,10,20011,2
52942,2008,1970,0,1,4,13,3480.75,3
39457,2000,1966,1,1,5,16,21612,3
39159,2000,1979,0,3,1,11,9143,4
25442,1990,1940,1,1,1,12,5766,NA
33543,1996,1951,1,1,1,12,13594,3
32902,1996,1948,1,1,1,16,32625,3
41468,2002,1965,0,1,1,15,62570,4
20580,1987,1942,1,2,3,12,37500,3
